year,game_id,date,matchup,division,bracket,status,missing
2025,cmmbe422a000chxphf6xwlcwg,2025-06-27,"Class 02/04 vs Class 2013",Maroon,,final,ticket_link
2025,cmmbe422a000chxphf6xwlcwg,2025-06-27,"Class 02/04 vs Class 2013",Maroon,,final,stream_link
2025,cmmbe42uz000ihxphska5lmdu,2025-06-27,"Class 2025 vs Class 2016/17",Maroon,,final,ticket_link
2025,cmmbe42uz000ihxphska5lmdu,2025-06-27,"Class 2025 vs Class 2016/17",Maroon,,final,stream_link
2025,cmmbe40zz0006hxphcs5yw4a5,2025-06-27,"Class 79/80 vs Class 84/85",Gold,,final,ticket_link
2025,cmmbe40zz0006hxphcs5yw4a5,2025-06-27,"Class 79/80 vs Class 84/85",Gold,,final,stream_link
2025,cmmbe4if1003chxph49kawvn4,2025-06-30,"Class 2020 vs Class 2021",Maroon,,final,ticket_link
2025,cmmbe4if1003chxph49kawvn4,2025-06-30,"Class 2020 vs Class 2021",Maroon,,final,stream_link
2025,cmmbe4j5l003ihxphufs6p1i5,2025-06-30,"Class 2024 vs Class 12 Pack",Maroon,,final,ticket_link
2025,cmmbe4j5l003ihxphufs6p1i5,2025-06-30,"Class 2024 vs Class 12 Pack",Maroon,,final,stream_link
2025,cmmbe4k4q003ohxphfqp65dl6,2025-06-30,"Class 98 vs Class 99/01/03",Gold,,final,ticket_link
2025,cmmbe4k4q003ohxphfqp65dl6,2025-06-30,"Class 98 vs Class 99/01/03",Gold,,final,stream_link
2025,cmmbe4llu0040hxphnjglph25,2025-07-01,"Class 2007 vs Class 2006",Maroon,,final,ticket_link
2025,cmmbe4llu0040hxphnjglph25,2025-07-01,"Class 2007 vs Class 2006",Maroon,,final,stream_link
2025,cmmbe4mcm0046hxphbzlzfr4f,2025-07-01,"Class 2023 vs Class 2025",Maroon,,final,score
2025,cmmbe4mcm0046hxphbzlzfr4f,2025-07-01,"Class 2023 vs Class 2025",Maroon,,final,ticket_link
2025,cmmbe4mcm0046hxphbzlzfr4f,2025-07-01,"Class 2023 vs Class 2025",Maroon,,final,stream_link
2025,cmmbe4kv5003uhxphcizp5rig,2025-07-01,"Class 84/85 vs Class 96/97",Gold,,final,ticket_link
2025,cmmbe4kv5003uhxphcizp5rig,2025-07-01,"Class 84/85 vs Class 96/97",Gold,,final,stream_link
2025,cmmbe4o0h004ihxph365w1vau,2025-07-02,"Class 1991 vs Class 1989",Gold,,final,ticket_link
2025,cmmbe4o0h004ihxph365w1vau,2025-07-02,"Class 1991 vs Class 1989",Gold,,final,stream_link
2025,cmmbe4n9p004chxphjg6mcxf5,2025-07-02,"Class 79/80 vs Class 1988",Gold,,final,ticket_link
2025,cmmbe4n9p004chxphjg6mcxf5,2025-07-02,"Class 79/80 vs Class 1988",Gold,,final,stream_link
2025,cmmbe4qze0056hxphfp0zc3cr,2025-07-03,"Class 2014 vs Class 2018/19",Maroon,,final,ticket_link
2025,cmmbe4qze0056hxphfp0zc3cr,2025-07-03,"Class 2014 vs Class 2018/19",Maroon,,final,stream_link
2025,cmmbe4pim004uhxphl7yi6y0q,2025-07-03,"Class 75 vs Class 82/86/AD7/92",Gold,,final,ticket_link
2025,cmmbe4pim004uhxphl7yi6y0q,2025-07-03,"Class 75 vs Class 82/86/AD7/92",Gold,,final,stream_link
2025,cmmbe4q8t0050hxphj1c7oxpk,2025-07-03,"Class 98 vs Class 430-5",Gold,,final,ticket_link
2025,cmmbe4q8t0050hxphj1c7oxpk,2025-07-03,"Class 98 vs Class 430-5",Gold,,final,stream_link
2025,cmmbe5ehq00a6hxphr0a09vw2,2025-07-10,"Class 2013 vs Class 2025",Maroon,,final,ticket_link
2025,cmmbe5ehq00a6hxphr0a09vw2,2025-07-10,"Class 2013 vs Class 2025",Maroon,,final,stream_link
