# FD Alumni Hub — Games Missing Stream Links
# Tournament: FD Alumni Basketball Tournament 2025
# Generated: 2026-03-04T04:14:34.408Z
# Partner: Clutch (streaming)
# Total: 93 of 93 games
Game ID,Date,Time,Away Team,Home Team,Division,Phase,Bracket Code,Venue,Status,Missing Fields
cmmbe40zz0006hxphcs5yw4a5,"Jun 27, 2025",6:00 PM,Class 84/85,Class 79/80,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe422a000chxphf6xwlcwg,"Jun 27, 2025",7:10 PM,Class 2013,Class 02/04,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe42uz000ihxphska5lmdu,"Jun 27, 2025",8:20 PM,Class 2016/17,Class 2025,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe43nh000ohxphzrk8x1p5,"Jun 28, 2025",12:10 PM,Class 2018/19,Class 2015,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe44gr000uhxphksyjzsvs,"Jun 28, 2025",1:20 PM,Class 2014,Class 08/09,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe459p0010hxphah3dzu1f,"Jun 28, 2025",2:30 PM,Class FS3,Class FS1,Special,Father-Son,FS,FD Jungle,scheduled,streamUrl
cmmbe461i0016hxph7dtm44qt,"Jun 28, 2025",3:40 PM,Class 98,Class 1991,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe46tx001chxphlrsnaabx,"Jun 28, 2025",4:50 PM,Class 1988,Class 82/86/AD7/92,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe47l2001ihxphgfqt990h,"Jun 28, 2025",6:00 PM,Class 05,Class 2007,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe48di001ohxphys6ldalg,"Jun 28, 2025",7:10 PM,Class 2010,Class 12 Pack,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4948001uhxphxlgqudr2,"Jun 28, 2025",8:20 PM,Class 2023,Class 2022,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe49vh0020hxph0ka4co6b,"Jun 29, 2025",12:10 PM,Class 2024,Class 2021,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4amm0026hxphtd8gy9kg,"Jun 29, 2025",1:20 PM,Class 60s,Class 60s,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4bll002chxphnwzvntbz,"Jun 29, 2025",2:30 PM,Class 2023,Class 2020,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4dtp002ihxphmi7f0o2p,"Jun 29, 2025",3:40 PM,Class 1989,Class 75,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4f5h002ohxph3k83lbv8,"Jun 29, 2025",4:50 PM,Class 96/97,Class 430-5,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4fy1002uhxphrrvarsj1,"Jun 29, 2025",6:00 PM,Class 2006,Class 02/04,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4gq50030hxph1rznpvkk,"Jun 29, 2025",7:10 PM,Class 2025,Class 2022,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4hnu0036hxph7icsbjqi,"Jun 29, 2025",8:20 PM,Class 2018/19,Class 2016/17,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4if1003chxph49kawvn4,"Jun 30, 2025",6:00 PM,Class 2021,Class 2020,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe4j5l003ihxphufs6p1i5,"Jun 30, 2025",7:10 PM,Class 12 Pack,Class 2024,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe4k4q003ohxphfqp65dl6,"Jun 30, 2025",8:20 PM,Class 99/01/03,Class 98,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4kv5003uhxphcizp5rig,"Jul 1, 2025",6:00 PM,Class 96/97,Class 84/85,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4llu0040hxphnjglph25,"Jul 1, 2025",7:10 PM,Class 2006,Class 2007,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe4mcm0046hxphbzlzfr4f,"Jul 1, 2025",8:20 PM,Class 2025,Class 2023,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe4n9p004chxphjg6mcxf5,"Jul 2, 2025",6:00 PM,Class 1988,Class 79/80,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4o0h004ihxph365w1vau,"Jul 2, 2025",7:10 PM,Class 1989,Class 1991,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4oru004ohxph9vxc2rdx,"Jul 2, 2025",8:20 PM,Class 2013,Class 12 Pack,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4pim004uhxphl7yi6y0q,"Jul 3, 2025",6:00 PM,Class 82/86/AD7/92,Class 75,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4q8t0050hxphj1c7oxpk,"Jul 3, 2025",7:10 PM,Class 430-5,Class 98,Gold,Pool,,FD Jungle,final,streamUrl
cmmbe4qze0056hxphfp0zc3cr,"Jul 3, 2025",8:20 PM,Class 2018/19,Class 2014,Maroon,Pool,,FD Jungle,final,streamUrl
cmmbe4rpi005chxphwm49jk8t,"Jul 4, 2025",6:00 PM,Class 99/01/03,Class 96/97,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4sgg005ihxphon9udsfg,"Jul 4, 2025",7:10 PM,Class 05,Class 02/04,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4t7s005ohxph8i76rizv,"Jul 4, 2025",8:20 PM,Class 2016/17,Class 2013,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4tyx005uhxphiq47xvek,"Jul 5, 2025",12:10 PM,Class 60s,Class 60s,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4us50060hxphvvan2w4r,"Jul 5, 2025",1:20 PM,Class 1989,Class 1988,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4vn40066hxphny8vskcq,"Jul 5, 2025",2:30 PM,Class FS2,Class FS1,Special,Father-Son,FS,FD Jungle,scheduled,streamUrl
cmmbe4wgh006chxphk6tzzzhb,"Jul 5, 2025",3:40 PM,Class 2015,Class 2014,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4x8l006ihxpha2o273io,"Jul 5, 2025",4:50 PM,Class 82/86/AD7/92,Class 79/80,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4xzl006ohxpht9rhpdrc,"Jul 5, 2025",6:00 PM,Class 2024,Class 2023,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4yq9006uhxph86y7zoqu,"Jul 5, 2025",7:10 PM,Class 08/09,Class 2006,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe4zo50070hxphknsrcguo,"Jul 5, 2025",8:20 PM,Class 2022,Class 2021,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe50fl0076hxph033qp24g,"Jul 6, 2025",1:20 PM,Class 2024,Class 2020,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe516h007chxphugls3ts8,"Jul 6, 2025",2:30 PM,Class 84/85,Class 75,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe51xp007ihxphafjrd3px,"Jul 6, 2025",3:40 PM,Class 2016/17,Class 2015,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe52sd007ohxph277qiz4b,"Jul 6, 2025",4:50 PM,Class 2010,Class 05,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe53ly007uhxphsbyinqd1,"Jul 6, 2025",6:00 PM,Class 2007,Class 02/04,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe54d60080hxphe9r2cvv8,"Jul 6, 2025",7:10 PM,Class 2014,Class 12 Pack,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe553q0086hxphux1l06o9,"Jul 6, 2025",8:20 PM,Class 2018/19,Class 2021,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe55uf008chxphnsbl577b,"Jul 7, 2025",6:00 PM,Class 1991,Class 430-5,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe56la008ihxphif8zmr94,"Jul 7, 2025",7:10 PM,Class FS3,Class FS2,Special,Father-Son,FS,FD Jungle,scheduled,streamUrl
cmmbe57du008ohxph62njs3di,"Jul 7, 2025",8:20 PM,Class 2022,Class 2020,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe5866008uhxphb9chlhea,"Jul 8, 2025",6:00 PM,Class 98,Class 96/97,Gold,Pool,,FD Jungle,scheduled,streamUrl
cmmbe58wv0090hxphox7c8t39,"Jul 8, 2025",7:10 PM,Class 2015,Class 08/09,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe59o60096hxphv7a2ljim,"Jul 8, 2025",8:20 PM,Class 2010,Class 2007,Maroon,Pool,,FD Jungle,scheduled,streamUrl
cmmbe5ag2009chxphtxib18o7,"Jul 9, 2025",6:00 PM,Class 60S FS,Class 60 FS,Special,Father-Son,,FD Jungle,scheduled,streamUrl
