id,year,date,division,bracket,home_team,away_team,status,notes
cmmbe4mcm0046hxphbzlzfr4f,2025,2025-07-01,Maroon,,"Class 2023","Class 2025",final,score_missing
cmmbe43nh000ohxphzrk8x1p5,2025,2025-06-28,Maroon,,"Class 2015","Class 2018/19",scheduled,needs_result
cmmbe44gr000uhxphksyjzsvs,2025,2025-06-28,Maroon,,"Class 08/09","Class 2014",scheduled,needs_result
cmmbe459p0010hxphah3dzu1f,2025,2025-06-28,Special,FS,"Class FS1","Class FS3",scheduled,needs_result
cmmbe461i0016hxph7dtm44qt,2025,2025-06-28,Gold,,"Class 1991","Class 98",scheduled,needs_result
cmmbe46tx001chxphlrsnaabx,2025,2025-06-28,Gold,,"Class 82/86/AD7/92","Class 1988",scheduled,needs_result
cmmbe47l2001ihxphgfqt990h,2025,2025-06-28,Maroon,,"Class 2007","Class 05",scheduled,needs_result
cmmbe48di001ohxphys6ldalg,2025,2025-06-28,Maroon,,"Class 12 Pack","Class 2010",scheduled,needs_result
cmmbe4948001uhxphxlgqudr2,2025,2025-06-28,Maroon,,"Class 2022","Class 2023",scheduled,needs_result
cmmbe49vh0020hxph0ka4co6b,2025,2025-06-29,Maroon,,"Class 2021","Class 2024",scheduled,needs_result
cmmbe4amm0026hxphtd8gy9kg,2025,2025-06-29,Gold,,"Class 60s","Class 60s",scheduled,needs_result
cmmbe4bll002chxphnwzvntbz,2025,2025-06-29,Maroon,,"Class 2020","Class 2023",scheduled,needs_result
cmmbe4dtp002ihxphmi7f0o2p,2025,2025-06-29,Gold,,"Class 75","Class 1989",scheduled,needs_result
cmmbe4f5h002ohxph3k83lbv8,2025,2025-06-29,Gold,,"Class 430-5","Class 96/97",scheduled,needs_result
cmmbe4fy1002uhxphrrvarsj1,2025,2025-06-29,Maroon,,"Class 02/04","Class 2006",scheduled,needs_result
cmmbe4gq50030hxph1rznpvkk,2025,2025-06-29,Maroon,,"Class 2022","Class 2025",scheduled,needs_result
cmmbe4hnu0036hxph7icsbjqi,2025,2025-06-29,Maroon,,"Class 2016/17","Class 2018/19",scheduled,needs_result
cmmbe4oru004ohxph9vxc2rdx,2025,2025-07-02,Maroon,,"Class 12 Pack","Class 2013",scheduled,needs_result
cmmbe4rpi005chxphwm49jk8t,2025,2025-07-04,Gold,,"Class 96/97","Class 99/01/03",scheduled,needs_result
cmmbe4sgg005ihxphon9udsfg,2025,2025-07-04,Maroon,,"Class 02/04","Class 05",scheduled,needs_result
cmmbe4t7s005ohxph8i76rizv,2025,2025-07-04,Maroon,,"Class 2013","Class 2016/17",scheduled,needs_result
cmmbe4tyx005uhxphiq47xvek,2025,2025-07-05,Gold,,"Class 60s","Class 60s",scheduled,needs_result
cmmbe4us50060hxphvvan2w4r,2025,2025-07-05,Gold,,"Class 1988","Class 1989",scheduled,needs_result
cmmbe4vn40066hxphny8vskcq,2025,2025-07-05,Special,FS,"Class FS1","Class FS2",scheduled,needs_result
cmmbe4wgh006chxphk6tzzzhb,2025,2025-07-05,Maroon,,"Class 2014","Class 2015",scheduled,needs_result
cmmbe4x8l006ihxpha2o273io,2025,2025-07-05,Gold,,"Class 79/80","Class 82/86/AD7/92",scheduled,needs_result
cmmbe4xzl006ohxpht9rhpdrc,2025,2025-07-05,Maroon,,"Class 2023","Class 2024",scheduled,needs_result
cmmbe4yq9006uhxph86y7zoqu,2025,2025-07-05,Maroon,,"Class 2006","Class 08/09",scheduled,needs_result
cmmbe4zo50070hxphknsrcguo,2025,2025-07-05,Maroon,,"Class 2021","Class 2022",scheduled,needs_result
cmmbe50fl0076hxph033qp24g,2025,2025-07-06,Maroon,,"Class 2020","Class 2024",scheduled,needs_result
cmmbe516h007chxphugls3ts8,2025,2025-07-06,Gold,,"Class 75","Class 84/85",scheduled,needs_result
cmmbe51xp007ihxphafjrd3px,2025,2025-07-06,Maroon,,"Class 2015","Class 2016/17",scheduled,needs_result
cmmbe52sd007ohxph277qiz4b,2025,2025-07-06,Maroon,,"Class 05","Class 2010",scheduled,needs_result
cmmbe53ly007uhxphsbyinqd1,2025,2025-07-06,Maroon,,"Class 02/04","Class 2007",scheduled,needs_result
cmmbe54d60080hxphe9r2cvv8,2025,2025-07-06,Maroon,,"Class 12 Pack","Class 2014",scheduled,needs_result
cmmbe553q0086hxphux1l06o9,2025,2025-07-06,Maroon,,"Class 2021","Class 2018/19",scheduled,needs_result
cmmbe55uf008chxphnsbl577b,2025,2025-07-07,Gold,,"Class 430-5","Class 1991",scheduled,needs_result
cmmbe56la008ihxphif8zmr94,2025,2025-07-07,Special,FS,"Class FS2","Class FS3",scheduled,needs_result
cmmbe57du008ohxph62njs3di,2025,2025-07-07,Maroon,,"Class 2020","Class 2022",scheduled,needs_result
cmmbe5866008uhxphb9chlhea,2025,2025-07-08,Gold,,"Class 96/97","Class 98",scheduled,needs_result
cmmbe58wv0090hxphox7c8t39,2025,2025-07-08,Maroon,,"Class 08/09","Class 2015",scheduled,needs_result
