year,date,division,bracket,home_team,away_team,status,notes
2025,2025-06-28,Maroon,,Class 2015,Class 2018/19,scheduled,needs_result
2025,2025-06-28,Maroon,,Class 08/09,Class 2014,scheduled,needs_result
2025,2025-06-28,Special,FS,Class FS1,Class FS3,scheduled,needs_result
2025,2025-06-28,Gold,,Class 1991,Class 98,scheduled,needs_result
2025,2025-06-28,Gold,,Class 82/86/AD7/92,Class 1988,scheduled,needs_result
2025,2025-06-28,Maroon,,Class 2007,Class 05,scheduled,needs_result
2025,2025-06-28,Maroon,,Class 12 Pack,Class 2010,scheduled,needs_result
2025,2025-06-28,Maroon,,Class 2022,Class 2023,scheduled,needs_result
2025,2025-06-29,Maroon,,Class 2021,Class 2024,scheduled,needs_result
2025,2025-06-29,Gold,,Class 60s,Class 60s,scheduled,needs_result
2025,2025-06-29,Maroon,,Class 2020,Class 2023,scheduled,needs_result
2025,2025-06-29,Gold,,Class 75,Class 1989,scheduled,needs_result
2025,2025-06-29,Gold,,Class 430-5,Class 96/97,scheduled,needs_result
2025,2025-06-29,Maroon,,Class 02/04,Class 2006,scheduled,needs_result
2025,2025-06-29,Maroon,,Class 2022,Class 2025,scheduled,needs_result
2025,2025-06-29,Maroon,,Class 2016/17,Class 2018/19,scheduled,needs_result
2025,2025-07-01,Maroon,,Class 2023,Class 2025,final,needs_result
2025,2025-07-02,Maroon,,Class 12 Pack,Class 2013,scheduled,needs_result
2025,2025-07-04,Gold,,Class 96/97,Class 99/01/03,scheduled,needs_result
2025,2025-07-04,Maroon,,Class 02/04,Class 05,scheduled,needs_result
2025,2025-07-04,Maroon,,Class 2013,Class 2016/17,scheduled,needs_result
2025,2025-07-05,Gold,,Class 60s,Class 60s,scheduled,needs_result
2025,2025-07-05,Gold,,Class 1988,Class 1989,scheduled,needs_result
2025,2025-07-05,Special,FS,Class FS1,Class FS2,scheduled,needs_result
2025,2025-07-05,Maroon,,Class 2014,Class 2015,scheduled,needs_result
2025,2025-07-05,Gold,,Class 79/80,Class 82/86/AD7/92,scheduled,needs_result
2025,2025-07-05,Maroon,,Class 2023,Class 2024,scheduled,needs_result
2025,2025-07-05,Maroon,,Class 2006,Class 08/09,scheduled,needs_result
2025,2025-07-05,Maroon,,Class 2021,Class 2022,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 2020,Class 2024,scheduled,needs_result
2025,2025-07-06,Gold,,Class 75,Class 84/85,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 2015,Class 2016/17,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 05,Class 2010,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 02/04,Class 2007,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 12 Pack,Class 2014,scheduled,needs_result
2025,2025-07-06,Maroon,,Class 2021,Class 2018/19,scheduled,needs_result
2025,2025-07-07,Gold,,Class 430-5,Class 1991,scheduled,needs_result
2025,2025-07-07,Special,FS,Class FS2,Class FS3,scheduled,needs_result
2025,2025-07-07,Maroon,,Class 2020,Class 2022,scheduled,needs_result
2025,2025-07-08,Gold,,Class 96/97,Class 98,scheduled,needs_result
2025,2025-07-08,Maroon,,Class 08/09,Class 2015,scheduled,needs_result
2025,2025-07-08,Maroon,,Class 2007,Class 2010,scheduled,needs_result
2025,2025-07-09,Special,,Class 60 FS,Class 60S FS,scheduled,needs_result
2025,2025-07-09,Gold,,Class 75,Class 79/80,scheduled,needs_result
2025,2025-07-09,Gold,,Class 430-5,Class 99/01/03,scheduled,needs_result
2025,2025-07-10,Gold,,Class 84/85,Class 1988,scheduled,needs_result
2025,2025-07-10,Gold,,Class 82/86/AD7/92,Class 1989,scheduled,needs_result
2025,2025-07-11,Gold,,Class 1991,Class 99/01/03,scheduled,needs_result
2025,2025-07-11,Maroon,,Class 2006,Class 05,scheduled,needs_result
2025,2025-07-11,Maroon,,Class 08/09,Class 2010,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 2014,Class 2024,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 2016/17,Class 2020,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 2007,Class 08/09,scheduled,needs_result
2025,2025-07-12,Platinum,PP,Class 75,Class 1988,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 2025,Class 2022,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 18/19,Class 2023,scheduled,needs_result
2025,2025-07-12,Platinum,PP,Class 1989,Class 84/85,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 12 Pack,Class 2021,scheduled,needs_result
2025,2025-07-12,Maroon,MP,Class 2013,Class 2015,scheduled,needs_result
2025,2025-07-13,Gold,GP,Class 91,Class 430-5,scheduled,needs_result
2025,2025-07-13,Maroon,MP,Class 2006,Class 2010,scheduled,needs_result
2025,2025-07-13,Maroon,MP,Class 02/04,Class WMP1,scheduled,needs_result
2025,2025-07-13,Gold,GP,Class 96/97/2000,Class 05,scheduled,needs_result
2025,2025-07-13,Maroon,MP,Class WMP5,Class WMP4,scheduled,needs_result
2025,2025-07-13,Maroon,MP,Class WMP2,Class WMP3,scheduled,needs_result
2025,2025-07-14,Platinum,PP,Class 79/80,Class WPP1,scheduled,needs_result
2025,2025-07-14,Maroon,MP,Class WMP7,Class WMP8,scheduled,needs_result
2025,2025-07-14,Maroon,MP,Class WMP9,Class WMP6,scheduled,needs_result
2025,2025-07-15,Platinum,PP,Class 82/86/AD7/92,Class WPP2,scheduled,needs_result
2025,2025-07-15,Gold,GP,Class 99/01/03,Class WGP1,scheduled,needs_result
2025,2025-07-15,Gold,GP,Class 98,Class WGP2,scheduled,needs_result
2025,2025-07-16,Maroon,MP,Class WMP11,Class WMP12,scheduled,needs_result
2025,2025-07-16,Maroon,MP,Class WMP10,Class WMP13,scheduled,needs_result
2025,2025-07-17,Special,TBD,Class TBD,Class TBD,scheduled,needs_result
2025,2025-07-17,Platinum,PP,Class WPP3,Class WPP4,scheduled,needs_result
2025,2025-07-17,Gold,GP,Class WGP3,Class WGP4,scheduled,needs_result
2025,2025-07-18,Special,FS,Class FS,Class FS,scheduled,needs_result
2025,2025-07-18,Gold,,Class 95,Class 90,scheduled,needs_result
2025,2025-07-18,Maroon,MP,Class WMP14,Class WMP15,scheduled,needs_result
